name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_measurement_type,radius_measurement_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
109 Psc b,Confirmed,5.743,0.289,1.011,6.383,0.078,0.078,1.152,,,1075.4,0.7,0.8,2.051,0.087,0.079,0.104,0.008,0.009,86.116,20.53,19.957,0.066339,2000,2024-06-14,112.816,5.448,5.254,2451492.0,17.0,17.0,,,,,,,,,,,,,,,,,,,114.583,1.196,1.067,,,,,,,,,,Published in a refereed paper,"Radial Velocity, Astrometry",Radial Velocity,Theoretical,HD 10697 b,,109 Psc,26.2326,20.08315,6.29,,,,,32.56,0.88,0.88,0.1,0.06,0.06,1.13,0.03,0.03,1.79,0.17,0.17,G5 IV,6.9,0.6,0.6,5600.0,80.0,80.0,,,HD 10697
1RXS 1609 b,Confirmed,14.0,3.0,2.0,,,,1.7,,,,,,330.0,0.0,0.0,,,,,,,2.275862,2008,2024-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800.0,,,,,4.0,Published in a refereed paper,Imaging,,,"1RXS J160929.1-210524 b, 1RXS J1609b, 1RXS J1609-2105b, RXJ 1609","CO, H2O, K",1RXS 1609,242.375,-21.0827778,,10.99,9.82,9.12,8.92,145.0,20.0,20.0,,,,0.73,0.05,0.05,1.35,,,K7V,0.011,0.002,0.002,4060.0,200.0,200.0,,,"1RXS1609, 1RXS J1609, 1RXS J160929.1-210524"
2MASS J0103-5515 (AB)b,Confirmed,10.5,1.1,1.1,,,,1.54,0.03,0.03,,,,84.0,,,,,,,,,,2013,2025-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,1731.0,96.0,96.0,,,,,,,Published in a refereed paper,Imaging,Spectrum,Flux,"Delorme 1 (AB)b, 2MASS J01033563-5515561 (AB)b",H,2MASS J0103-5515,15.9,-55.2656,,,7.5,,,47.2,3.1,3.1,,,,0.4,,,,,,M,0.03,,,,,,,,"Delorme 1, 2MASS J01033563-5515561"
2MASS J0122-2439 b,Confirmed,25.0,12.0,12.0,,,,1.2,0.2,0.2,,,,52.0,6.0,6.0,,,,,,,1.37,2013,2025-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,Flux,"2M 0122-24 b, BWL 63 b, 2MASS J01225093-2439505 b, WISE J012251.02-243952.0 b",,2MASS J0122-2439,20.712243,-24.664049,,,10.084,9.47,,36.0,4.0,4.0,,,,0.4,0.05,0.05,0.37,,,M3.5V,0.144,0.082,0.105,3530.0,50.0,50.0,,,"BWL 63, 2MASS J01225093-2439505, WISE J012251.02-243952.0"
2MASS J0213+3648 (AB)b,Confirmed,63.0,9.0,9.0,,,,1.1,,,,,,360.0,,,,,,,,,,2017,2024-08-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300.0,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,"2MASS J0213+3648 C, 2MASSW J0213198+364837",,2MASS J0213+3648,9.067132871325834,18.352857407212777,13.86,,,,,22.2,4.0,6.4,-0.07,,,0.26,0.06,0.06,0.214,0.007,0.007,M4.5V,5.5,4.5,4.5,3300.0,,,,,"JNN 18, 2MASS J02132062+3648506"
2MASS J0219-39 b,Confirmed,13.9,1.1,1.1,,,,1.44,0.03,0.03,,,,156.0,10.0,10.0,,,,,,,,2015,2024-07-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1683.0,,,,,,Published in a refereed paper,Imaging,Spectrum,Theoretical,"J0219-3925 B, 2MASS J02192210-3925225 b",,2MASS J0219-3925,34.841666674,-39.423055569,,,,,,39.4,2.6,2.6,,,,0.11,0.01,0.01,0.27,0.01,0.01,M6,,,,3064.0,76.0,76.0,,,2MASS J0292210-3925225
2MASS J0414+2811,Confirmed,53.0,,,,,,8.73,,,,,,2800.0,,,,,,,,,23.43,2004,2025-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,2963.0,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,"V773 Tau (ABC)b, 2MASS J04141188+2811535",,V773 Tau (ABC),63.55385881288,28.20343307088,,,,,,132.8,2.3,2.3,,,,2.87,,,2.22,0.2,0.2,K3e+K3+K3+K3+M4,0.003,0.001,0.001,,,,,,"HD 283447, HIP 19762, GHE 1, HBC 367"
2MASS J0441+2301 Ab,Confirmed,35.0,5.0,5.0,,,,4.1,0.2,0.2,,,,33.0,,,,,,,,,,2015,2025-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,2800.0,,,,,,,,,Published in a refereed paper,Imaging,,,2MASS J04414489+2301513 Ab,,2MASS J0441+2301 A,70.4375,23.0308333,,,14.2,13.72,13.16,145.0,15.0,15.0,,,,0.2,0.05,1.0,1.1,,,M4.5V,0.002,,,3400.0,,,,,2MASS J04414489+2301513 A
2MASS J0441+2301 B,Confirmed,19.0,3.0,3.0,,,,3.5,1.9,1.9,,,,1800.0,,,,,,,,,,2010,2025-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,2100.0,,,,,,,,,Published in a refereed paper,Imaging,,,"2MASS J04414489+2301513 B, 2MASS J04414489+2301513 Ba",,2MASS J0441+2301 A,70.4375,23.0308333,,,14.2,13.72,13.16,145.0,15.0,15.0,,,,0.2,0.05,1.0,1.1,,,M4.5V,0.002,,,3400.0,,,,,2MASS J04414489+2301513 A
2MASS J1118-0640 b,Confirmed,65.0,5.0,5.0,,,,0.9,0.1,0.1,,,,709.0,,,,,,,,,,2014,2025-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300.0,100.0,100.0,,,,,,,Published in a refereed paper,Imaging,Spectrum,,"CFBDS J111807-064016, 2MASS J11180698-0640078 b",,2MASS J1118-0640,169.52917497826,-6.66881277459,19.14,,,,,100.716,1.574,1.574,-0.1,0.1,0.1,0.185,0.02,0.02,0.216,0.0074,0.0074,M4.5V,6.0,,,3030.0,157.0,157.0,,,2MASS J11180698-0640078
2MASS J1315-2649 b,Confirmed,28.0,4.0,4.0,,,,0.91,0.02,0.02,19162.5,2737.5,2737.5,6.6,0.9,0.9,,,,,,,,2011,2024-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,670.0,7.0,7.0,,,,,,,Published in a refereed paper,Imaging,Spectrum,,2MASS J13153094-2649513 b,,2MASS J1315-2649,198.87858242815332,26.83106370310139,,,15.19,14.06,13.46,19.0,3.0,3.0,,,,0.074,0.002,0.002,0.084,0.02,0.02,L5Ve,0.9,0.1,0.1,1770.0,140.0,140.0,,,2MASS J13153094-2649513
2MASS J1839+4424 b,Confirmed,38.7,1.6,1.8,,,,1.58,0.67,0.0,,,,832.0,,,,,,,,,1.84,2008,2025-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800.0,,,,,,,,,Published in a refereed paper,"Imaging, Astrometry",Spectrum,Flux,"2MASS J18392735+4424484, KPP 3332 b",,2MASS J1839+4424,279.87168394516,44.41071000347,,,,,,37.67,,,,,,0.071,0.0047,0.0031,0.123,0.00382,0.00382,M9V,0.185,0.02,0.02,2810.0,158.0,158.0,,,"2MASS J18392917+4424386, KP 3332 A"
2MASS J2140+1625 b,Confirmed,20.0,20.0,80.0,,,,0.92,0.39,0.39,7340.0,584.0,584.0,3.53,0.15,0.15,0.26,0.06,0.06,46.2,8.7,8.7,0.1412,2002,2024-08-28,223.0,47.0,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,"2MASS J21402931+1625183 b, CLO 2 b",,2MASS J2140+1625,325.1208333,16.4216667,,,,,,25.0,10.0,10.0,,,,0.08,0.06,0.06,0.1,0.043,0.043,M8V,,,,2300.0,80.0,80.0,,,"2MASS J21402931+1625183, CLO 2"
2MASS J2206-2047 b,Confirmed,30.0,20.0,70.0,,,,1.3,0.18,0.18,8686.0,69.4,69.4,4.48,0.4,0.4,0.0,,,44.3,0.7,0.7,0.167979,2010,2024-07-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,2MASS J22062280-2047058 b,,2MASS J2206-2047,331.5958333,-20.785,19.78,14.87,12.37,11.68,11.31,26.67,2.63,2.63,,,,0.13,0.05,0.05,0.11,0.015,0.015,M8V,,,,2350.0,80.0,80.0,,,2MASSW J2206228-204705
2S 0918-549 b,Confirmed,26.0,2.0,3.0,,,,0.31,0.01,0.01,0.012083333,,,0.00116,,,,,,10.0,,,,2011,2024-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Timing,,,,,2S 0918-549,140.11034090419,-55.20680911289,21.0,,15.623,15.243,15.186,4750.0,650.0,650.0,,,,1.4,,,,,,PSR,,,,,,,,,4U 0919-54
4U 1543-62 b,Confirmed,41.0,,,28.8,2.6,2.6,0.3,0.008,0.011,0.0125,,,0.001187,2.7e-07,1.1e-06,,,,,,,,2004,2024-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,"Timing, Kinematic",Timing,Theoretical,QU TrA b,,4U 1543-62,236.9775,-62.568333333333335,,,,,,3300.0,-1900.0,3300.0,,,,1.4,,,,,,PSR,,,,,,,,,QU TrA
4U 1626-67 b,Confirmed,41.88,,,,,,0.778,0.0973,0.0973,0.027777,,,0.002037,1.37e-05,1.37e-05,,,,23.5,12.5,12.5,,1988,2024-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,"Timing, Kinematic",,,KZ TrA b,,4U 1626-67,248.06995833333332,-67.46091666666666,,,,,,4500.0,1500.0,1500.0,,,,1.4,,,2e-05,,,PSR,,,,,,,,,KZ TrA
51 Eri Ab,Confirmed,4.1,0.5,0.5,,,,1.11,0.13,0.16,10260.0,1800.0,6300.0,11.1,1.3,4.2,0.49,0.15,0.15,136.0,11.0,11.0,,2015,2025-03-25,84.0,58.0,58.0,2452014.79,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,700.0,,,,,,,,3.5,Published in a refereed paper,Imaging,Spectrum,,,"CH4, H2O",51 Eri A,69.4005514287,-2.47354859817,5.223,,,,,29.4,0.3,0.3,-0.027,,,1.75,0.05,0.05,,,,F0IV,0.02,0.006,0.006,,,,IR Excess,,
51 Peg b,Confirmed,0.47,0.07,0.03,0.46,0.06,0.01,1.9,0.3,0.3,4.2308,3.72905e-05,3.72905e-05,0.052,,,0.0069,0.0066,0.0069,80.0,10.0,19.0,0.003537,1995,2024-09-01,54.1,72.3,72.3,2450404.4,,,,,,,,,,,,,,,,,,2497.0,0.022,0.022,55.65,0.53,0.53,,,,,,0.5,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,Theoretical,,"CO, H2O",51 Peg,344.3625,20.7686111,5.49,4.61,4.66,4.23,3.91,15.4614,0.0297,0.0297,0.18,0.1,0.1,1.03,0.126,0.126,1.176,0.051,0.051,G2IV-V,4.0,2.5,2.5,5758.0,110.623,110.623,,,HD 217014
54 Psc c,Confirmed,53.0,15.0,15.0,,,,0.8,0.06,0.06,,,,476.0,6.0,6.0,,,,,,,,2006,2024-05-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,810.0,,,,,,Published in a refereed paper,Imaging,Theoretical,,"HD 3651 B, 54 Piscium B, HD 3651 c, GL 27 B, GL 27 c",,54 Psc,9.8375,21.2502778,5.8,,,,,11.0,,,0.05,0.05,0.05,0.79,,,0.947,0.032,0.032,K0 V,5.13,,,5173.0,,,IR Excess,,HD 3651
55 Cnc Ae,Confirmed,0.02703,0.00135,0.00135,,,,0.1737,0.00339,0.00339,0.7365478,1.2e-06,1.6e-06,0.015439,1.5e-05,1.5e-05,0.028,0.019,0.022,90.36,4.66,3.96,0.001264,2004,2024-06-19,170.0,130.0,130.0,2449999.83643,0.0001,0.0001,,,,2455962.0697,0.0018,0.0018,,,,72.4,12.0,12.0,,,,,,,6.12,0.2,0.2,,,,,,,,,,Published in a refereed paper,"Radial Velocity, Primary Transit",Radial Velocity,Primary Transit,"TOI-1773 e, HD 75732 e, rho1 Cnc Ae","Ca, Ca+, CCH, Fe, Fe+, H2O, HCN, K, Mg, N, NH3",55 Cnc A,133.1492129350179,28.330820831797222,5.95,,4.59,4.14,4.015,12.5855,0.01235,0.01235,0.35,0.1,0.1,0.9,0.115,0.115,0.963,0.0654,0.0654,K0V,10.2,2.5,2.5,5250.0,147.574,147.574,,,"rho1 Cnc, HD 75732, GJ 324 A, rho1 Cnc A, TOI-1773"
AB Pic b,Confirmed,13.5,0.2,0.2,,,,1.75,0.1,0.1,,,,275.0,,,,,,,,,5.813953,2005,2024-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1700.0,,,,,,Published in a refereed paper,"Imaging, Astrometry",Astrometry,,HD 44627 b,,AB Pic,94.8,-58.0541667,9.16,,,,,47.3,1.8,1.8,0.04,0.02,0.02,,,,,,,K2 V,0.03,,,5285.0,9.0,10.0,,,
AF Lep b,Confirmed,3.75,0.5,0.5,,,,1.3,0.15,0.15,8875.0,146.0,329.0,8.98,0.08,0.15,0.013,0.01,0.024,57.75,0.7,0.7,,2023,2024-11-12,289.0,21.0,13.0,2459606.0,360.0,720.0,,,,,,,,,,,,,,,,,,,,,,,,,800.0,,,,,,Published in a refereed paper,Imaging,Astrometry,Theoretical,,,AF Lep,81.770833335,-11.90111113,6.3,,,,,26.843,0.014,0.014,0.19,0.02,0.02,1.2,0.06,0.06,1.25,0.06,0.06,F8V,0.024,0.003,0.003,6130.0,60.0,60.0,,,
AL Com b,Confirmed,47.0,10.0,10.0,,,,1.04,0.08,0.08,0.056668,,,0.00249,,,,,,,,,,1996,2024-07-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Timing,Timing,,,,AL Com,188.10747989777,14.34508116341,16.2,,19.0,18.08,18.0,614.018,337.197,337.197,,,,0.6,,,0.01,,,DA,,,,16300.0,1000.0,1000.0,,,"Rosino-Zwicky Object, NOVA Com 1961, SDSS J123225.79+142042.2"
ASASSN-16kr b,Confirmed,42.0,1.0,1.0,,,,1.05,0.01,0.01,0.061285932,1e-09,1e-09,0.003,0.005,0.005,,,,86.4,0.4,0.4,,2021,2024-07-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Other,Theoretical,Primary Transit,,,ASASSN-16kr,331.5,-34.24277779,19.0,,,,,160.5,8.0,8.0,,,,0.952,0.018,0.018,0.0083,0.0002,0.0002,DA,,,,10000.0,1000.0,1000.0,,,
ASASSN-17jf b,Confirmed,60.0,8.0,8.0,,,,1.12,0.04,0.04,0.0567904,7e-07,7e-07,0.0026,0.009,0.009,,,,83.7,0.5,0.5,,2021,2024-07-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Other,Theoretical,Primary Transit,,,ASASSN-17jf,307.320833339,-43.67222224,20.0,,,,,286.0,100.0,100.0,,,,0.669,0.031,0.031,0.012,0.0004,0.0004,DA,,,,10500.0,2500.0,2500.0,,,
AU Mic b,Confirmed,0.028,0.0084,0.0082,,,,0.4273,0.027,0.027,8.463446,5e-06,5e-06,0.07,0.007,0.007,0.07,0.04,0.09,88.4,0.23,0.23,,2020,2024-07-26,-52.0,91.0,43.0,,,,,,,2458330.35078,0.0005,0.0005,,,,,,,0.5,0.05,0.05,,,,3.8,1.0,1.0,569.5,4.5,5.1,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,AU Mic,311.29166667,-31.340833346,8.6,,,,,9.79,0.04,0.04,,,,0.5,0.03,0.03,0.75,0.03,0.03,M1V,0.022,0.003,0.003,3700.0,100.0,100.0,,,
AU Mic c,Confirmed,0.0456,0.0107,0.0107,,,,0.2248,0.0223,0.0223,18.859023,2e-05,2e-05,0.119,0.01,0.01,0.18,0.08,0.08,89.09,0.2,0.2,,2020,2025-05-26,72.0,42.0,57.0,,,,,,,2458330.350878,0.0005,0.0005,,,,67.8,49.0,32.0,0.26,0.18,0.2,,,,4.7,1.0,1.0,436.0,3.4,3.9,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,AU Mic,311.29166667,-31.340833346,8.6,,,,,9.79,0.04,0.04,,,,0.5,0.03,0.03,0.75,0.03,0.03,M1V,0.022,0.003,0.003,3700.0,100.0,100.0,,,
BD+05 4868 Ab,Confirmed,6e-05,,,,,,0.02792,,,1.271869,1e-06,1e-06,0.0208,0.0003,0.0003,,,,,,,,2025,2025-07-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,1820.0,45.0,45.0,,,,,,,Published in a refereed paper,Primary Transit,Theoretical,Flux,"TIC 466376085 Ab, TIC 466376085.01",,BD+05 4868 A,326.8605,6.6048583333333335,9.84,,,,,43.67,0.03,0.03,-0.07,0.09,0.09,0.7,0.02,0.02,0.69,0.02,0.02,K4V,11.1,3.0,1.7,4540.0,110.0,110.0,,,"TIC 466376085 A, HIP 107587 b"
BD-14 3065 Ab,Confirmed,12.37,0.9,0.9,,,,1.93,0.09,0.09,4.2889731,5.2e-06,5.2e-06,0.0656,0.003,0.003,0.07,0.01,0.01,80.8,0.3,0.24,,2024,2025-11-29,54.0,9.0,6.0,,,,,,,2479313.48578,0.00076,0.00076,,,,,,,0.91,0.008,0.009,,,,1.21,0.07,0.07,2000.0,30.0,30.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"TOI-4987 Ab, TOI-4987.01",,BD-14 3065 A,153.66970833333332,15.642869444444443,11.0,,,,,566.7,,,-0.34,0.05,0.05,1.41,0.05,0.05,2.35,0.08,0.08,F2IV,9.35,0.05,0.05,6935.0,90.0,90.0,,,TOI-4987 A
BD+20 594 b,Confirmed,0.07,0.03,0.03,0.0513,0.019,0.019,0.23,0.01,0.01,41.6855,0.0031,0.0031,0.241,0.019,0.019,0.0,,,89.55,0.14,0.17,,2016,2021-02-05,,,,,,,,,,2457151.9021,0.0047,0.0042,,,,,,,,,,,,,3.1,1.1,1.1,386.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"2MASS J03343623+2035574 b, EPIC 210848071 b, EPIC 210848071.01, K2-56 b, TYC 1242-608-1 b, WISE J033436.26+203556.7 b",,BD+20 594,53.650967,20.599232,11.0,,9.77,9.432,,180.39,1.25,1.25,-0.15,0.05,0.05,1.67,0.4,0.4,1.08,0.06,0.06,G,3.34,1.49,1.95,5766.0,99.0,99.0,,,"2MASS 03343623+2035574, 2MASS J03343623+2035574, EPIC 210848071, K2-56, TYC 1242-608-1, WISE J033436.26+203556.7"
BD+60 1417 b,Confirmed,15.0,5.0,5.0,,,,1.31,0.06,0.06,,,,1662.0,,,,,,,,,,2021,2024-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1303.0,,,,,,Published in a refereed paper,Imaging,Spectrum,Flux,,,BD+60 1417,190.88863433134074,60.01463979390183,,,,,,44.957,0.027,0.027,,,,1.0,,,0.797,0.051,0.051,,0.1,0.05,0.05,4993.0,124.0,124.0,,,
beta Pic b,Confirmed,11.9,3.04,2.93,,,,1.35,0.02,0.02,7707.0,300.0,730.0,9.93,0.03,0.03,0.103,0.003,0.003,89.0,0.02,0.01,0.440415,2008,2025-11-17,199.3,3.1,2.8,2456380.0,60.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,1550.0,,,,,,Published in a refereed paper,Imaging,Radial Velocity,Flux,bet Pic b,"C, CO, H, H2O, N, O I",beta Pic,86.8208333,-51.0663889,3.86,,,,,19.3,0.2,0.2,,,,1.73,0.05,0.05,1.8,,,A6V,0.04,0.004,0.004,8052.0,,,Imaging,,bet Pic
beta Pic c,Confirmed,8.89,0.75,0.75,8.5,0.5,0.5,1.2,0.1,0.1,1227.0,110.0,110.0,2.68,0.02,0.02,0.32,0.02,0.02,89.95,0.1,0.1,,2019,2024-03-24,66.0,1.8,1.8,2454116.0,9.0,9.0,,,,,,,,,,,,,,,,,,,113.0,2.0,2.0,,,,1250.0,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,Flux,bet Pic c,,beta Pic,86.8208333,-51.0663889,3.86,,,,,19.3,0.2,0.2,,,,1.73,0.05,0.05,1.8,,,A6V,0.04,0.004,0.004,8052.0,,,Imaging,,bet Pic
BW Scl b,Confirmed,51.0,6.0,6.0,,,,1.0,0.05,0.05,0.0543239136,2.4e-09,2.4e-09,0.0027,0.0001,0.0001,,,,64.3,3.6,3.6,,2023,2023-06-27,,,,,,,,,,,,,,,,,,,,,,,,,27700.0,3000.0,3000.0,1600.0,1600.0,0.0,,,,,,,Published in a refereed paper,Other,Radial Velocity,Theoretical,,,BW Scl,358.254166667,-38.863055583,16.5,,,,,93.64,0.4,0.4,,,,0.85,0.04,0.04,,,,WD,,,,,,,,,
CD-35 2722 b,Confirmed,7.3,1.1,1.1,,,,1.62,0.05,0.05,1963700.0,1423500.0,1058500.0,241.0,130.0,85.0,0.94,0.026,0.033,151.0,15.0,20.0,10.78,2011,2025-08-16,136.0,21.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,1668.0,125.0,125.0,,,,,,,Published in a refereed paper,Imaging,Spectrum,Flux,WHH 1 b,,CD-35 2722,92.3300429231,-35.8253322455,10.98,,,,,22.36,0.01,0.01,0.04,0.5,0.5,0.4,0.05,0.05,,,,M1V,0.133,0.02,0.02,3680.0,100.0,100.0,,,WHH 1
CFHT-BD-Tau 4,Confirmed,66.0,40.0,40.0,,,,4.2,0.4,0.4,,,,5200.0,,,,,,,,,37.0,1996,2025-10-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,3028.0,,,2800.0,,,,,,Published in a refereed paper,Imaging,,,"[MDM2001] CFHT-BD-Tau 4, ITG 17, ITG 15 c",,ITG 15,69.937,26.031305555555555,,,,,,139.6,1.0,1.0,,,,0.17,,,,,,M5,,,,,,,,,"IRAS F04366+2555, EPIC 248030407"
COCONUTS-2 b,Confirmed,6.4,2.0,2.0,,,,1.12,0.04,0.04,,,,6471.0,,,,,,,,,594.0,2021,2024-04-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,434.0,,,,,4.1,Submitted to a professional journal,Imaging,Spectrum,Flux,"WISEPA J075108.79-763449.6 b, L 34-26 b",,COCONUTS-2A,117.304166671,-76.70194446,11.3,,,,,10.89,0.002,0.002,0.0,0.08,0.08,0.37,0.02,0.02,0.388,0.011,0.011,M3,0.475,0.325,0.325,3406.0,69.0,69.0,,,WISEPA J075108.79-763449.6
COCONUTS-3 b,Confirmed,39.0,18.0,11.0,,,,1.03,0.06,0.12,,,,1891.0,1.6,1.6,,,,,,,,2022,2024-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1362.0,,,,,,Published in a refereed paper,Imaging,Spectrum,Flux,,,COCONUTS-3,123.329166673,-15.377777794,15.0,,,,,30.88,0.02,0.02,,,,,,,,,,M5.5,0.5,0.4,0.5,2966.0,85.0,85.0,,,
CoRoT-10 b,Confirmed,2.75,0.14,0.14,,,,0.97,0.05,0.05,13.2406,0.0002,0.0002,0.1055,0.0021,0.0021,0.53,0.04,0.04,88.55,0.2,0.2,0.000306,2010,2014-08-29,218.9,6.4,6.4,2454990.85,0.08,0.08,,,,2454273.3436,0.0012,0.0012,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-10,291.0625,0.7461111,15.22,,,,,345.0,50.0,50.0,0.26,0.07,0.07,0.89,0.05,0.05,0.79,0.05,0.05,K1V,3.0,2.99,0.0,5075.0,75.0,75.0,,,
CoRoT-11 b,Confirmed,2.33,0.27,0.27,,,,1.43,0.033,0.033,2.994325,2.1e-05,2.1e-05,0.04351,0.00036,0.00036,0.0,,,81.41,0.17,0.17,7.8e-05,2010,2014-08-17,,,,,,,,,,2454597.679688,0.0003,0.0003,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-11,280.6875,5.9377778,12.94,,,,,560.0,30.0,30.0,0.04,0.03,0.03,1.27,0.05,0.05,1.36,0.13,0.13,F6V,2.0,1.0,1.0,6343.0,72.0,72.0,,,
CoRoT-12 b,Confirmed,0.917,0.065,0.07,,,,1.44,0.13,0.13,2.8280517,1.2e-06,1.2e-06,0.04016,0.00092,0.00092,0.07,0.042,0.042,85.48,0.77,0.77,3.5e-05,2010,2021-12-21,105.0,27.0,27.0,,,,,,,2454398.62707,0.00036,0.00036,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,CoRoT-12,100.7666667,-1.2963889,15.52,,,,,1150.0,85.0,85.0,0.16,0.1,0.1,1.078,0.072,0.072,1.116,0.092,0.092,G2V,6.3,3.1,3.1,5675.0,80.0,80.0,,,
CoRoT-13 b,Confirmed,1.308,0.066,0.066,,,,0.885,0.014,0.014,4.0350906,3.6e-06,3.6e-06,0.051,0.0031,0.0031,0.0,,,88.02,0.036,0.036,3.9e-05,2010,2021-12-21,,,,,,,,,,2454790.8091,0.0006,0.0006,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,CoRoT-13,102.7208333,-5.0863889,15.04,,,,,1310.0,100.0,100.0,0.01,0.07,0.07,1.09,0.02,0.02,1.01,0.03,0.03,G0V,1.64,1.52,1.52,5945.0,90.0,90.0,,,
CoRoT-14 b,Confirmed,7.6,0.6,0.6,,,,1.09,0.07,0.07,1.51214,0.00013,0.00013,0.027,0.002,0.002,0.0,,,79.6,0.8,0.8,2e-05,2010,2014-01-24,,,,2454787.6702,,,,,,2454787.6694,0.0053,0.0053,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-14,103.425,-5.5361111,16.03,,,,,1340.0,110.0,110.0,0.05,0.15,0.15,1.13,0.09,0.09,1.21,0.08,0.08,F9V,4.2,3.8,3.8,6035.0,100.0,100.0,,,
